"","PlayerID","PlayerTrueName","Team","MinOnCourt","PossForOnCourt","PossOppOnCourt","PointsForOnCourt","PointsOppOnCourt","OffRtgOnCourt","DefRtgOnCourt","OverallRtgOnCourt","ORebForOnCourt","ORebOppOnCourt","DRebForOnCourt","DRebOppOnCourt","ORebRateOnCourt","DRebRateOnCourt","MinOffCourt","PossForOffCourt","PossOppOffCourt","PointsForOffCourt","PointsOppOffCourt","OffRtgOffCourt","DefRtgOffCourt","OverallRtgOffCourt","ORebForOffCourt","ORebOppOffCourt","DRebForOffCourt","DRebOppOffCourt","ORebRateOffCourt","DRebRateOffCourt","OverallRtgOnCourtMinusOffCourt","ORebRateOnCourtMinusOffCourt","DRebRateOnCourtMinusOffCourt","TotalScore","PointsForOnCourt Score","PointsOppOnCourt Score","ORebForOnCourt Score","ORebOppOnCourt Score","DRebForOnCourt Score","DRebOppOnCourt Score","PointsForOffCourt Score","PointsOppOffCourt Score","ORebForOffCourt Score","ORebOppOffCourt Score","DRebForOffCourt Score","DRebOppOffCourt Score"
"33",83,"Bass, Brandon","DAL",191.8,360,364,419,406,116.3889,111.5385,4.8504,55,49,132,127,0.3022,0.7293,288.2,543,541,597,619,109.9448,114.4177,-4.473,86,87,199,178,0.3258,0.6958,9.3234,-0.0236,0.0335,350.109378015501,28.9833080424886,28.8220031136482,26.1237785016287,23.9116719242902,27.7578475336323,26.9506726457399,32.0665499124343,33.0448430493274,30.7887323943662,30.4657534246575,31.8918918918919,29.3023255813953
"126",444,"Wright, Antoine","DAL",166.7833,307,310,337,363,109.772,117.0968,-7.3248,51,49,111,107,0.3228,0.6938,313.2167,596,595,679,662,113.9262,111.2605,2.6657,90,87,220,198,0.3125,0.7166,-9.9905,0.0103,-0.0228,348.418510494009,25.2503793626707,26.8137000518941,24.9511400651466,23.9116719242902,24.932735426009,24.2600896860987,35.2977232924693,34.780269058296,31.8028169014085,30.4657534246575,34.3243243243243,31.6279069767442
"145",557,"Hollins, Ryan","DAL",83.7667,160,160,153,181,95.625,113.125,-17.5,25,29,67,61,0.2907,0.6979,396.2333,743,745,863,844,116.1507,113.2886,2.8621,116,107,264,244,0.3222,0.7116,-20.3621,-0.0315,-0.0137,342.698064419086,16.8740515933232,18.3134405812143,17.328990228013,18.2334384858044,19.0134529147982,18.0717488789238,42.5481611208406,42.1255605381166,38.3943661971831,35.3972602739726,39.4208494208494,36.9767441860465
"67",178,"Singleton, James","DAL",41.4667,76,80,70,108,92.1053,135,-42.8947,14,15,21,29,0.3256,0.5833,438.5333,827,825,946,917,114.3894,111.1515,3.2378,127,121,310,276,0.3151,0.7193,-46.1325,0.0105,-0.136,339.324043860058,13.0955993930197,14.9039958484691,14.1042345276873,14.2586750788644,12.8251121076233,13.7668161434978,45.8187390542907,45.0717488789238,41.1830985915493,38.8493150684932,44.7490347490347,40.6976744186046
"135",514,"Green, Gerald","DAL",26.05,48,47,41,47,85.4167,100,-14.5833,11,9,18,22,0.3333,0.6667,453.95,855,858,975,978,114.0351,113.986,0.0491,130,127,313,283,0.3148,0.7114,-14.6324,0.0185,-0.0447,338.232708090947,11.7754172989378,12.0550077841204,13.2247557003257,12.5552050473186,12.4215246636771,12.8251121076233,46.9614711033275,47.5336322869955,41.943661971831,40.3287671232877,45.0965250965251,41.5116279069767
"49",128,"Carroll, Matt","DAL",13.6333,23,25,21,26,91.3043,104,-12.6957,4,2,7,10,0.2857,0.7778,466.3667,880,880,995,999,113.0682,113.5227,-0.4545,137,134,324,295,0.3171,0.7074,-12.2412,-0.0314,0.0704,337.013549237153,10.8649468892261,11.0742086144266,11.1726384364821,10.5678233438486,10.9417040358744,11.2107623318386,47.7495621716287,48.3811659192825,43.7183098591549,42.0547945205479,46.3706563706564,42.906976744186
"193",755,"Rose, Derrick","CHI",314.1333,606,607,641,674,105.7756,111.0379,-5.2623,97,107,224,211,0.3149,0.6767,56.8667,109,107,117,114,107.3394,106.5421,0.7974,21,17,40,38,0.3559,0.7018,-6.0597,-0.041,-0.0251,317.45861880202,39.0895295902883,41.338868707836,38.4364820846906,40.3785488958991,40.1345291479821,38.2511210762332,13.1523642732049,12.6636771300448,14.3098591549296,13.2054794520548,13.4749034749035,13.0232558139535
"22",59,"Salmons, John","CHI",312.75,600,599,627,682,104.5,113.8564,-9.3564,97,108,215,213,0.3129,0.6656,58.25,115,115,131,106,113.913,92.1739,21.7391,21,16,49,36,0.3684,0.7538,-31.0955,-0.0555,-0.0882,317.329266283327,38.4522003034901,41.712506486767,38.4364820846906,40.6624605678233,38.9237668161435,38.5201793721973,13.7040280210158,12.3408071748879,14.3098591549296,12.958904109589,14.5173745173745,12.7906976744186
"47",119,"Gordon, Ben","CHI",304.15,592,583,629,645,106.25,110.6346,-4.3846,94,107,216,208,0.3113,0.6687,66.85,123,131,129,143,104.878,109.1603,-4.2823,24,17,48,41,0.3692,0.7385,-0.1023,-0.0579,-0.0698,316.877899897054,38.5432473444613,39.9844317592112,37.557003257329,40.3785488958991,39.0582959641256,37.847533632287,13.6252189141856,13.8340807174888,15.0704225352113,13.2054794520548,14.4015444015444,13.3720930232558
"178",686,"Noah, Joakim","CHI",271.0833,508,528,525,597,103.3465,113.0682,-9.7217,83,102,192,189,0.3051,0.6531,99.9167,207,186,233,191,112.5604,102.6882,9.8722,35,22,72,60,0.3684,0.766,-19.5939,-0.0633,-0.1129,314.518687168098,33.8088012139605,37.7426050856253,34.3322475570033,38.9589905362776,35.8295964125561,35.2914798206278,17.723292469352,15.7713004484305,17.8591549295775,14.4383561643836,17.1814671814672,15.5813953488372
"44",110,"Hinrich, Kirk","CHI",210.3667,410,413,437,449,106.5854,108.7167,-2.1313,71,65,153,140,0.3365,0.7018,160.6333,305,301,321,339,105.2459,112.6246,-7.3787,47,59,111,109,0.3013,0.6529,5.2474,0.0352,0.0489,309.560391261345,29.8027314112291,30.8303061754022,30.814332247557,28.4542586750789,30.5829596412556,28.6995515695067,21.1908931698774,21.7443946188341,20.9014084507042,23.5616438356164,21.6988416988417,21.2790697674419
"146",559,"Thomas, Tyrus","CHI",195.0333,365,376,378,436,103.5616,115.9574,-12.3958,68,60,135,114,0.3736,0.6923,175.9667,350,338,380,352,108.5714,104.142,4.4294,50,64,129,135,0.2703,0.6684,-16.8252,0.1033,0.0239,308.000192783864,27.1168437025797,30.2231447846393,29.9348534201954,27.0347003154574,28.1614349775785,25.2017937219731,23.515761821366,22.2690582959641,21.6619718309859,24.7945205479452,23.7837837837838,24.3023255813954
"24",65,"Miller, Brad","CHI",185.7833,372,341,399,348,107.2581,102.0528,5.2053,55,56,140,130,0.2973,0.7143,185.2167,343,373,359,440,104.6647,117.9625,-13.2977,63,68,124,119,0.3462,0.6458,18.503,-0.0489,0.0685,307.291095854511,28.0728376327769,26.1131292163985,26.1237785016287,25.8990536277603,28.8340807174888,27.3542600896861,22.6882661996497,25.8206278026906,24.9577464788732,25.7808219178082,23.2046332046332,22.4418604651163
"136",515,"Hunter, Lindsey","CHI",23.2667,48,51,57,45,118.75,88.2353,30.5147,8,5,19,18,0.3077,0.7917,347.7333,667,663,701,743,105.0975,112.0664,-6.9689,110,119,245,231,0.3226,0.6731,37.4836,-0.0149,0.1186,295.201824667224,12.5037936267071,11.9615983393876,12.3452768729642,11.4195583596215,12.5560538116592,12.2869955156951,36.1646234676007,38.0493273542601,36.8732394366197,38.3561643835616,37.2200772200772,35.4651162790698
"48",125,"Thomas, Tim","CHI",15.1167,28,29,27,30,96.4286,103.4483,-7.0197,3,7,10,12,0.2,0.5882,355.8833,687,685,731,758,106.4047,110.6569,-4.2523,115,117,254,237,0.3267,0.6846,-2.7674,-0.1267,-0.0964,294.521754473994,11.1380880121396,11.2610275038921,10.8794788273616,11.98738170347,11.3452914798206,11.4798206278027,37.3467600700525,38.6547085201794,38.1408450704225,37.8630136986301,38.2625482625483,36.1627906976744
"120",408,"Johnson, Linton","CHI",9.9,20,19,28,17,140,89.4737,50.5263,6,1,6,5,0.5455,0.8571,361.1,695,695,730,771,105.036,110.9353,-5.8993,112,123,258,244,0.3146,0.6772,56.4256,0.2309,0.1799,294.13772652165,11.1836115326252,10.6538661131292,11.7589576547231,10.2839116719243,10.8071748878924,10.5381165919283,37.3073555166375,39.1793721973094,37.3802816901408,39.3424657534247,38.7258687258687,36.9767441860465
"177",685,"Gray, Aaron","CHI",9.2167,18,16,29,12,161.1111,75,86.1111,5,1,7,4,0.5556,0.875,361.7833,697,698,729,776,104.5911,111.1748,-6.5837,113,123,257,245,0.3156,0.6763,92.6948,0.24,0.1987,294.072926070439,11.2291350531108,10.4203425012974,11.4657980456026,10.2839116719243,10.9417040358744,10.4035874439462,37.2679509632224,39.3811659192825,37.6338028169014,39.3424657534247,38.6100386100386,37.093023255814
"128",457,"Roberson, Anthony","CHI",4.2,8,8,13,5,162.5,62.5,100,3,1,3,1,0.75,0.75,366.8,707,706,745,783,105.3748,110.9065,-5.5317,115,123,261,248,0.3168,0.6797,105.5317,0.4332,0.0703,293.721777423537,10.5007587253414,10.0934094447327,10.8794788273616,10.2839116719243,10.4035874439462,10,37.8984238178634,39.6636771300448,38.1408450704225,39.3424657534247,39.0733590733591,37.4418604651163
"77",204,"Wade, Dwayne","MIA",285.2333,498,498,534,516,107.2289,103.6145,3.6145,79,89,197,170,0.3173,0.6888,50.7667,86,88,83,95,96.5116,107.9545,-11.4429,8,21,26,32,0.2,0.5532,15.0574,0.1173,0.1356,278.937650576729,34.2185128983308,33.9595225739491,33.1596091205212,35.2681388012618,36.5022421524664,32.7354260089686,11.8126094570928,11.8968609865471,11.0140845070423,14.1917808219178,11.8532818532819,12.3255813953488
"6",10,"Jones, James","MIA",235.1667,405,401,438,432,108.1481,107.7307,0.4175,57,71,153,136,0.2953,0.683,100.8333,179,185,179,179,100,96.7568,3.2432,30,39,70,66,0.3125,0.6422,-2.8257,-0.0172,0.0408,274.829806972176,29.8482549317147,30.0363258951738,26.7100977198697,30.1577287066246,30.5829596412556,28.1614349775785,15.5954465849387,15.2869955156951,16.5915492957746,18.6301369863014,16.9498069498069,16.2790697674419
"196",773,"Chalmers, Mario","MIA",230.8167,394,396,424,423,107.6142,106.8182,0.796,58,64,148,133,0.3037,0.6981,105.1833,190,190,193,188,101.5789,98.9474,2.6316,29,46,75,69,0.2959,0.6198,-1.8356,0.0078,0.0783,274.317066412189,29.2109256449165,29.6159833938765,27.0032573289902,28.1703470031546,29.9103139013453,27.7578475336323,16.1471103327496,15.6502242152466,16.3380281690141,20.3561643835616,17.5289575289575,16.6279069767442
"76",201,"Haslem, Udonis","MIA",203.7833,350,351,387,375,110.5714,106.8376,3.7338,49,60,133,114,0.3006,0.6891,132.2167,234,235,230,236,98.2906,100.4255,-2.1349,38,50,90,88,0.3016,0.6429,5.8687,-0.001,0.0462,272.652729060505,27.5265553869499,27.3741567202906,24.3648208469055,27.0347003154574,27.8923766816144,25.2017937219731,17.6050788091068,17.5874439461883,18.6197183098592,21.3424657534247,19.2664092664093,18.8372093023256
"195",772,"Beasley, Michael","MIA",178.3667,316,314,315,331,99.6835,105.414,-5.7305,52,61,119,117,0.3077,0.6611,157.6333,268,272,302,280,112.6866,102.9412,9.7454,35,49,104,85,0.2917,0.6797,-15.4759,0.016,-0.0186,271.882155961725,24.2488619119879,25.3191489361702,25.2442996742671,27.3186119873817,26.0089686098655,25.6053811659193,20.4422066549912,19.3632286995516,17.8591549295775,21.0958904109589,20.8880308880309,18.4883720930233
"185",701,"Cook, Daequan","MIA",160.8167,282,289,285,302,101.0638,104.4983,-3.4344,45,61,109,102,0.3061,0.6412,175.1833,302,297,332,309,109.9338,104.0404,5.8934,42,49,114,100,0.2958,0.6994,-9.3278,0.0103,-0.0582,270.77634271717,22.8831562974203,23.9647119875454,23.1921824104235,27.3186119873817,24.6636771300448,23.5874439461883,21.6243432574431,20.5336322869955,19.6338028169014,21.0958904109589,22.046332046332,20.2325581395349
"56",143,"O'Neal, Jermaine","MIA",161.75,284,279,307,292,108.0986,104.6595,3.4391,40,51,108,94,0.2985,0.6792,174.25,300,307,310,319,103.3333,103.9088,-0.5755,47,59,115,108,0.3032,0.6609,4.0146,-0.0047,0.0183,270.11124484875,23.8846737481032,23.4976647638817,21.7263843648208,24.4794952681388,24.5291479820628,22.5112107623318,20.7574430823117,20.9372197309417,20.9014084507042,23.5616438356164,22.1621621621622,21.1627906976744
"184",700,"Anthony, Joel","MIA",88.25,149,151,157,130,105.3691,86.0927,19.2764,19,31,63,56,0.2533,0.6702,247.75,435,435,460,481,105.7471,110.5747,-4.8276,68,79,160,146,0.3178,0.6695,24.104,-0.0645,7e-04,265.051257219024,17.0561456752656,15.9314997405293,15.5700325732899,18.801261829653,18.47533632287,17.3991031390135,26.6681260945709,27.47533632287,26.2253521126761,28.4931506849315,27.3745173745174,25.5813953488372
"18",51,"Magloire, Jamaal","MIA",47.4833,83,90,83,109,100,121.1111,-21.1111,17,18,28,30,0.3617,0.6087,288.5167,501,496,534,502,106.5868,101.2097,5.3771,70,92,195,172,0.2893,0.6794,-26.4882,0.0724,-0.0707,262.771570711819,13.6874051593323,14.9507005708355,14.9837133550489,15.1104100946372,13.7668161434978,13.9013452914798,29.5840630472855,28.3228699551569,26.7323943661972,31.6986301369863,31.4285714285714,28.6046511627907
"175",682,"Moon, Jamario","MIA",39.8,74,75,72,77,97.2973,102.6667,-5.3694,9,20,30,26,0.2571,0.6,296.2,510,511,545,534,106.8627,104.501,2.3618,78,90,193,176,0.3071,0.682,-7.7312,-0.05,-0.082,262.22315333043,13.1866464339909,13.4561494551116,12.6384364820847,15.6782334384858,14.0358744394619,13.3632286995516,30.0175131348511,29.6143497757848,28.7605633802817,31.2054794520548,31.1969111969112,29.0697674418605
"154",581,"Quinn, Chris","MIA",24.3167,42,42,44,33,104.7619,78.5714,26.1905,4,13,13,15,0.2105,0.5,311.6833,542,544,573,578,105.7196,106.25,-0.5304,83,97,210,187,0.3074,0.684,26.7209,-0.0969,-0.184,260.794418096745,11.9119878603945,11.4011416709912,11.1726384364821,13.6908517350158,11.7488789237668,11.8834080717489,31.1208406304729,31.390134529148,30.0281690140845,32.9315068493151,33.1660231660232,30.3488372093023
"150",565,"Diawara, Yakhouba","MIA",21.15,38,39,37,31,97.3684,79.4872,17.8812,4,10,13,15,0.2105,0.5652,314.85,546,547,580,580,106.2271,106.0329,0.1942,83,100,210,187,0.3074,0.6774,17.687,-0.0969,-0.1122,260.626884382932,11.5933232169954,11.3077322262584,11.1726384364821,12.8391167192429,11.7488789237668,11.8834080717489,31.3966725043783,31.4708520179372,30.0281690140845,33.6712328767123,33.1660231660232,30.3488372093023
"79",214,"Wright, Dorell","MIA",3.0667,5,5,2,4,40,80,-40,2,1,1,2,0.5,0.5,332.9333,579,581,615,607,106.2176,104.475,1.7426,85,109,222,200,0.2982,0.6707,-41.7426,0.2018,-0.1707,259.364435797767,10,10.0467047223664,10.586319218241,10.2839116719243,10.1345291479821,10.1345291479821,32.7758318739054,32.5605381165919,30.5352112676056,35.8904109589041,34.5559845559846,31.8604651162791
"19",52,"Iguodala, Andre","PHI",268.6333,496,495,494,527,99.5968,106.4646,-6.8679,70,80,179,183,0.2767,0.6911,19.3667,36,36,37,50,102.7778,138.8889,-36.1111,4,6,10,12,0.25,0.625,29.2432,0.0267,0.0661,259.243843586512,32.3975720789074,34.4732745199792,30.5211726384365,32.7129337539432,34.0807174887892,34.4843049327354,10,10.0807174887892,10,10.4931506849315,10,10
"14",31,"Miller, Andre","PHI",257.9333,474,474,472,529,99.5781,111.6034,-12.0253,66,82,169,170,0.2797,0.6733,30.0667,58,57,59,48,101.7241,84.2105,17.5136,8,4,20,25,0.2424,0.8333,-29.5389,0.0373,-0.16,258.613795658071,31.3960546282246,34.566683964712,29.3485342019544,33.2807570977918,32.7354260089686,32.7354260089686,10.8669001751313,10,11.0140845070423,10,11.1583011583012,11.5116279069767
"174",681,"Young, Thaddeus","PHI",229.15,419,423,414,456,98.8067,107.8014,-8.9947,55,72,152,158,0.2582,0.6786,58.85,113,108,117,121,103.5398,112.037,-8.4972,19,14,37,37,0.3393,0.7255,-0.4975,-0.0811,-0.0469,256.44936809034,28.7556904400607,31.1572392319668,26.1237785016287,30.4416403785489,30.4484304932735,31.1210762331839,13.1523642732049,12.9461883408072,13.8028169014085,12.4657534246575,13.1274131274131,12.906976744186
"101",281,"Williams, Louis","PHI",149.0833,283,275,286,285,101.0601,103.6364,-2.5763,43,44,103,101,0.2986,0.7007,138.9167,249,256,245,292,98.3936,114.0625,-15.6689,31,42,86,94,0.248,0.6719,13.0926,0.0506,0.0288,251.103392025306,22.9286798179059,23.1707317073171,22.6058631921824,22.4921135646688,23.8565022421525,23.4529147982063,18.1961471103327,19.847533632287,16.8450704225352,19.3698630136986,18.8030888030888,19.5348837209302
"139",541,"Green, Willie","PHI",147.4833,267,270,260,307,97.3783,113.7037,-16.3254,34,44,90,101,0.2519,0.6716,140.5167,265,261,271,270,102.2642,103.4483,-1.1841,40,42,99,94,0.2985,0.7021,-15.1413,-0.0466,-0.0305,250.484076637636,21.7450682852807,24.1982355993773,19.9674267100977,22.4921135646688,22.1076233183856,23.4529147982063,19.2206654991243,18.9596412556054,19.1267605633803,19.3698630136986,20.3088803088803,19.5348837209302
"160",607,"Aldridge, LaMarcus","POR",237.2667,415,416,432,450,104.0964,108.1731,-4.0767,50,65,151,160,0.2381,0.6991,50.7333,88,89,91,105,103.4091,117.9775,-14.5684,17,13,26,36,0.3208,0.6667,10.4917,-0.0827,0.0324,249.8556262848,29.5751138088012,30.8770108977686,24.6579804560261,28.4542586750789,30.3139013452915,31.390134529148,12.1278458844133,12.3004484304933,13.2957746478873,12.2191780821918,11.8532818532819,12.7906976744186
"116",355,"Blake, Steve","POR",230.5333,398,402,420,452,105.5276,112.4378,-6.9102,50,65,141,157,0.2415,0.6845,57.4667,105,103,103,103,98.0952,100,-1.9048,17,13,36,39,0.3036,0.7347,-5.0054,-0.0621,-0.0502,249.553150079734,29.0288315629742,30.9704203425013,24.6579804560261,28.4542586750789,28.9686098654709,30.9865470852018,12.600700525394,12.219730941704,13.2957746478873,12.2191780821918,13.011583011583,13.1395348837209
"159",606,"Roy, Brandon","POR",238.4333,415,416,439,456,105.7831,109.6154,-3.8323,48,59,147,159,0.2319,0.7136,49.5667,88,89,84,99,95.4545,111.236,-15.7814,19,19,30,37,0.3393,0.6122,11.9491,-0.1074,0.1014,249.540193773831,29.8937784522003,31.1572392319668,24.071661237785,26.7507886435331,29.7757847533632,31.2556053811659,11.8520140105079,12.0582959641256,13.8028169014085,13.6986301369863,12.3166023166023,12.906976744186
"129",458,"Dalembert, Samuel","PHI",133.35,242,242,237,280,97.9339,115.7025,-17.7686,34,31,88,91,0.272,0.7395,154.65,290,289,294,297,101.3793,102.7682,-1.3889,40,55,101,104,0.2778,0.6474,-16.3797,-0.0058,0.0921,249.466727860365,20.6980273141123,22.9372080954852,19.9674267100977,18.801261829653,21.8385650224215,22.1076233183856,20.1269702276708,20.0493273542601,19.1267605633803,22.5753424657534,20.5405405405405,20.6976744186046
"54",139,"Williams, Deron","UTA",210.7167,420,418,430,466,102.381,111.4833,-9.1023,84,57,142,150,0.359,0.7136,29.2833,51,53,57,67,111.7647,126.4151,-14.6504,9,14,15,18,0.3333,0.5172,5.5481,0.0257,0.1964,247.629799020064,29.48406676783,31.6242864556305,34.6254071661238,26.1829652996845,29.1031390134529,30.0448430493274,10.7880910683012,10.7668161434978,11.2676056338028,12.4657534246575,10.5791505791506,10.6976744186047
"104",297,"Ratliff, Theo","PHI",94.2,171,174,194,177,113.4503,101.7241,11.7262,21,37,59,53,0.2838,0.6146,193.8,361,357,337,400,93.3518,112.0448,-18.693,53,49,130,142,0.2718,0.7263,30.4192,0.012,-0.1117,247.022919346752,18.7405159332322,18.1266216917488,16.1563517915309,20.5047318611987,17.9372197309417,16.9955156950673,21.8213660245184,24.2062780269058,22.4225352112676,21.0958904109589,23.8996138996139,25.1162790697674
"115",354,"Outlaw, Travis","POR",170.3,308,309,320,336,103.8961,108.7379,-4.8418,43,49,109,115,0.2722,0.6899,117.7,195,196,203,219,104.1026,111.7347,-7.6321,24,29,68,81,0.2286,0.701,2.7903,0.0436,-0.0111,245.965396966226,24.4764795144158,25.5526725480021,22.6058631921824,23.9116719242902,24.6636771300448,25.3363228699552,16.5411558669002,16.9013452914798,15.0704225352113,16.1643835616438,16.7181467181467,18.0232558139535
"137",518,"Boozer, Carlos","UTA",185.5667,368,371,378,418,102.7174,112.6685,-9.9511,75,43,123,128,0.3695,0.741,54.4333,103,100,109,115,105.8252,115,-9.1748,18,28,34,40,0.3103,0.5484,-0.7763,0.0592,0.1926,245.370767504485,27.1168437025797,29.3824597820446,31.9869706840391,22.2082018927445,26.5470852017937,27.085201793722,12.8371278458844,12.7040358744395,13.5492957746479,15.9178082191781,12.7799227799228,13.2558139534884
"188",734,"Fernandez, Rudy","POR",162.1,296,300,296,318,100,106,-6,36,45,107,117,0.2353,0.7039,125.9,207,205,227,237,109.6618,115.6098,-5.9479,31,33,70,79,0.2818,0.6796,-0.0521,-0.0465,0.0243,245.276601550813,23.3839150227618,24.7119875454074,20.5537459283388,22.7760252365931,24.3946188340807,25.6053811659193,17.4868651488616,17.627802690583,16.8450704225352,17.1506849315069,16.9498069498069,17.7906976744186
"102",284,"Przybilla, Joel","POR",162.45,271,281,288,324,106.2731,115.3025,-9.0294,36,44,94,105,0.2553,0.6812,125.55,232,224,235,231,101.2931,103.125,-1.8319,31,34,83,91,0.2541,0.7094,-7.1975,0.0012,-0.0282,244.76630099607,23.0197268588771,24.9922158796056,20.5537459283388,22.4921135646688,22.6457399103139,23.9910313901345,17.8021015761821,17.3856502242152,16.8450704225352,17.3972602739726,18.4555984555985,19.1860465116279
"91",263,"Marshall, Donyell","PHI",50.2833,101,93,110,105,108.9109,112.9032,-3.9923,13,15,34,29,0.3095,0.6939,237.7167,431,438,421,472,97.6798,107.7626,-10.0827,61,71,155,166,0.2687,0.6858,6.0904,0.0408,0.0081,244.008030910944,14.9165402124431,14.76388168137,13.8110749185668,14.2586750788644,14.5739910313901,13.7668161434978,25.1313485113835,27.1121076233184,24.4507042253521,26.5205479452055,26.7953667953668,27.906976744186
"163",629,"Millsap, Paul","UTA",155.3667,304,305,312,345,102.6316,113.1148,-10.4832,68,56,100,105,0.3931,0.641,84.6333,167,166,175,188,104.7904,113.253,-8.4626,25,15,57,63,0.2841,0.7917,-2.0206,0.109,-0.1507,243.861732653902,24.1122913505311,25.9730150492994,29.9348534201954,25.8990536277603,23.4529147982063,23.9910313901345,15.4378283712785,15.6502242152466,15.3239436619718,12.7123287671233,15.4440154440154,15.9302325581395
"43",109,"Ivey, Royal","PHI",44.6167,84,86,81,81,96.4286,94.186,2.2425,13,6,31,37,0.26,0.8378,243.3833,448,445,450,496,100.4464,111.4607,-11.0142,61,80,158,158,0.2785,0.6639,13.2567,-0.0185,0.1739,243.432153958712,13.5963581183612,13.6429683445771,13.8110749185668,11.7034700315457,14.1704035874439,14.8430493273543,26.2740805604203,28.0807174887892,24.4507042253521,28.7397260273973,27.1428571428571,26.9767441860465
"62",163,"Evans, Reggie","PHI",36.15,69,68,57,67,82.6087,98.5294,-15.9207,11,7,27,31,0.2619,0.7941,251.85,463,463,474,510,102.3758,110.1512,-7.7754,63,79,162,164,0.2775,0.6722,-8.1453,-0.0156,0.1219,242.970217824258,12.5037936267071,12.9891022314478,13.2247557003257,11.98738170347,13.6322869955157,14.0358744394619,27.2197898423818,28.6457399103139,24.9577464788732,28.4931506849315,27.6061776061776,27.6744186046512
