"","PlayerID","PlayerTrueName","Team","MinOnCourt","PossForOnCourt","PossOppOnCourt","PointsForOnCourt","PointsOppOnCourt","OffRtgOnCourt","DefRtgOnCourt","OverallRtgOnCourt","ORebForOnCourt","ORebOppOnCourt","DRebForOnCourt","DRebOppOnCourt","ORebRateOnCourt","DRebRateOnCourt","MinOffCourt","PossForOffCourt","PossOppOffCourt","PointsForOffCourt","PointsOppOffCourt","OffRtgOffCourt","DefRtgOffCourt","OverallRtgOffCourt","ORebForOffCourt","ORebOppOffCourt","DRebForOffCourt","DRebOppOffCourt","ORebRateOffCourt","DRebRateOffCourt","OverallRtgOnCourtMinusOffCourt","ORebRateOnCourtMinusOffCourt","DRebRateOnCourtMinusOffCourt","TotalScore","PointsForOnCourt Score","PointsOppOnCourt Score","ORebForOnCourt Score","ORebOppOnCourt Score","DRebForOnCourt Score","DRebOppOnCourt Score","PointsForOffCourt Score","PointsOppOffCourt Score","ORebForOffCourt Score","ORebOppOffCourt Score","DRebForOffCourt Score","DRebOppOffCourt Score"
"198",789,"Speights, Marreese","PHI",29.1167,54,55,50,71,92.5926,129.0909,-36.4983,10,12,13,21,0.3226,0.52,258.8833,478,476,481,506,100.6276,106.3025,-5.6749,64,74,176,174,0.2689,0.704,-30.8234,0.0537,-0.184,242.65552489931,12.185128983308,13.1759211209133,12.9315960912052,13.4069400630915,11.7488789237668,12.6905829596413,27.4956217162872,28.4843049327354,25.2112676056338,27.2602739726027,29.2277992277992,28.8372093023256
"161",617,"Brewer, Ronnie","UTA",157.5333,306,309,323,340,105.5556,110.0324,-4.4768,52,38,101,105,0.3312,0.7266,82.4667,165,162,164,193,99.3939,119.1358,-19.7419,41,33,56,63,0.3942,0.6292,15.2651,-0.063,0.0974,242.609740785958,24.6130500758725,25.7394914374676,25.2442996742671,20.788643533123,23.5874439461883,23.9910313901345,15.0043782837128,15.8520179372197,19.3802816901408,17.1506849315069,15.3281853281853,15.9302325581395
"20",54,"Korver, Kyle","UTA",136.2167,268,265,284,297,105.9701,112.0755,-6.1053,53,38,94,100,0.3464,0.7121,103.7833,203,206,203,236,100,114.5631,-14.5631,40,33,63,68,0.3704,0.6563,8.4578,-0.024,0.0559,241.915718883646,22.8376327769348,23.7311883757135,25.5374592833876,20.788643533123,22.6457399103139,23.3183856502242,16.5411558669002,17.5874439461883,19.1267605633803,17.1506849315069,16.1389961389961,16.5116279069767
"51",136,"Kirilenko, Andrei","UTA",136.3167,269,269,271,316,100.7435,117.4721,-16.7286,55,43,82,95,0.3667,0.656,103.6833,202,202,216,217,106.9307,107.4257,-0.495,38,28,75,73,0.3423,0.7282,-16.2336,0.0244,-0.0722,241.907065728308,22.2458270106222,24.6185781006746,26.1237785016287,22.2082018927445,21.0313901345291,22.6457399103139,17.053415061296,16.8206278026906,18.6197183098592,15.9178082191781,17.5289575289575,17.093023255814
"168",661,"Oden, Greg","POR",95.7167,167,163,160,151,95.8084,92.638,3.1703,23,23,63,67,0.2556,0.7326,192.2833,336,342,363,404,108.0357,118.1287,-10.0929,44,55,114,129,0.2543,0.6746,13.2632,0.0013,0.058,240.312682863755,17.1927162367223,16.9122989102231,16.742671009772,16.5299684542587,18.47533632287,18.8789237668161,22.84588441331,24.3677130044843,20.1408450704225,22.5753424657534,22.046332046332,23.6046511627907
"190",736,"Batum, Nicolas","POR",63.0667,106,107,112,137,105.6604,128.0374,-22.377,14,19,34,43,0.2456,0.6415,224.9333,397,398,411,418,103.5264,105.0251,-1.4987,53,59,143,153,0.2573,0.7079,-20.8783,-0.0117,-0.0664,238.443763284134,15.0075872534143,16.2584327970939,14.1042345276873,15.3943217665615,14.5739910313901,15.6502242152466,24.7373029772329,24.932735426009,22.4225352112676,23.5616438356164,25.4054054054054,26.3953488372093
"117",362,"Frye, Channing","POR",35.9,61,60,65,79,106.5574,131.6667,-25.1093,13,9,14,26,0.3333,0.6087,252.1,442,445,458,476,103.6199,106.9663,-3.3464,54,69,163,170,0.2411,0.7026,-21.7629,0.0922,-0.0939,236.690871359825,12.8679817905918,13.5495588998443,13.8110749185668,12.5552050473186,11.8834080717489,13.3632286995516,26.5893169877408,27.2735426008969,22.6760563380282,26.027397260274,27.7220077220077,28.3720930232558
"158",605,"Rodriguez, Sergio","POR",27.3667,52,46,50,44,96.1538,95.6522,0.5017,12,6,16,21,0.3636,0.7273,260.6333,451,459,473,511,104.878,111.329,-6.4509,55,72,161,175,0.2391,0.691,6.9526,0.1245,0.0363,236.171477827251,12.185128983308,11.9148936170213,13.5179153094463,11.7034700315457,12.152466367713,12.6905829596413,27.1803852889667,28.6860986547085,22.9295774647887,26.7671232876712,27.4903474903475,28.953488372093
"123",426,"Miles, C.J.","UTA",58.4667,114,114,116,137,101.7544,120.1754,-18.4211,24,24,37,41,0.3692,0.6066,181.5333,357,357,371,396,103.9216,110.9244,-7.0028,69,47,120,127,0.352,0.7186,-11.4183,0.0172,-0.112,236.057551892135,15.1896813353566,16.2584327970939,17.0358306188925,16.813880126183,14.9775784753363,15.3811659192825,23.1611208406305,24.0448430493274,26.4788732394366,20.6027397260274,22.7413127413127,23.3720930232558
"53",138,"Harpring, Matt","UTA",48.5167,99,97,100,100,101.0101,103.0928,-2.0827,17,20,34,34,0.3333,0.6296,191.4833,372,374,387,433,104.0323,115.7754,-11.7431,76,51,123,134,0.3619,0.7069,9.6604,-0.0286,-0.0773,235.11418489574,14.4613050075873,14.5303580695381,14.9837133550489,15.6782334384858,14.5739910313901,14.4394618834081,23.7915936952715,25.5381165919283,28.2535211267606,21.5890410958904,23.0888030888031,24.1860465116279
"189",735,"Bayless, Jerryd","POR",11.4167,18,17,23,20,127.7778,117.6471,10.1307,6,4,6,6,0.5,0.6,276.5833,485,488,500,535,103.0928,109.6311,-6.5384,61,74,171,190,0.243,0.698,16.6691,0.257,-0.098,235.080717197209,10.9559939301973,10.7939802802283,11.7589576547231,11.1356466876972,10.8071748878924,10.6726457399103,28.2443082311734,29.6547085201794,24.4507042253521,27.2602739726027,28.6486486486486,30.6976744186047
"50",132,"Okur, Mehmet","UTA",43.4167,79,79,85,95,107.5949,120.2532,-12.6582,16,16,30,33,0.3265,0.6522,196.5833,392,392,402,438,102.551,111.7347,-9.1837,77,55,127,135,0.3632,0.6978,-3.4745,-0.0367,-0.0456,234.708640492807,13.7784522003035,14.2968344577063,14.6905537459283,14.5425867507886,14.0358744394619,14.304932735426,24.3826619964974,25.7399103139013,28.5070422535211,22.5753424657534,23.5521235521236,24.3023255813954
"112",329,"Ruffin, Michael","POR",5.45,8,8,10,8,125,100,25,4,2,3,4,0.5,0.6,282.55,495,497,513,547,103.6364,110.0604,-6.424,63,76,174,192,0.2471,0.696,31.424,0.2529,-0.096,234.67847201311,10.3641881638847,10.2335236118319,11.1726384364821,10.5678233438486,10.4035874439462,10.4035874439462,28.7565674255692,30.1390134529148,24.9577464788732,27.7534246575342,28.996138996139,30.9302325581395
"52",137,"Collins, Jarron","UTA",35.35,68,67,72,72,105.8824,107.4627,-1.5803,9,3,23,25,0.2647,0.8846,204.65,403,404,415,461,102.9777,114.1089,-11.1312,84,68,134,143,0.37,0.6634,9.5509,-0.1053,0.2212,233.443400917278,13.1866464339909,13.2226258432797,12.6384364820847,10.8517350157729,13.0941704035874,13.2286995515695,24.8949211908932,26.6681614349776,30.2816901408451,25.7808219178082,24.3629343629344,25.2325581395349
"28",70,"Paul, Chris","NOH",201.0667,379,378,365,460,96.3061,121.6931,-25.3871,49,55,124,141,0.2579,0.6927,38.9333,70,73,56,82,80,112.3288,-32.3288,11,12,25,29,0.275,0.6757,6.9417,-0.0171,0.017,232.947084302557,26.5250379362671,31.3440581214323,24.3648208469055,25.615141955836,26.6816143497758,28.8340807174888,10.7486865148862,11.372197309417,11.7746478873239,11.972602739726,11.7374517374517,11.9767441860465
"34",85,"Price, Ronnie","UTA",16.0333,30,31,40,37,133.3333,119.3548,13.9785,10,8,11,11,0.4762,0.5789,223.9667,441,440,447,496,101.3605,112.7273,-11.3667,83,63,146,157,0.3458,0.6986,25.3452,0.1304,-0.1197,232.771915390835,11.7298937784522,11.5879605604567,12.9315960912052,12.2712933753943,11.4798206278027,11.3452914798206,26.1558669001751,28.0807174887892,30.0281690140845,24.5479452054795,25.7528957528958,26.8604651162791
"45",114,"Knight, Brevin","UTA",16.5,30,30,24,42,80,140,-60,2,9,8,13,0.1333,0.4706,223.5,441,441,463,491,104.9887,111.3379,-6.3492,91,62,149,155,0.3699,0.7062,-53.6508,-0.2366,-0.2356,232.406373338118,11.0015174506829,11.8214841722885,10.586319218241,12.5552050473186,11.0762331838565,11.6143497757848,26.7863397548161,27.8789237668161,32.056338028169,24.3013698630137,26.1003861003861,26.6279069767442
"27",69,"West, David","NOH",178.4,330,331,328,413,99.3939,124.7734,-25.3795,40,48,109,116,0.2564,0.6943,61.6,119,120,93,129,78.1513,107.5,-29.3487,20,19,40,54,0.2703,0.678,3.9692,-0.0139,0.0163,231.067583471181,24.8406676783005,29.1489361702128,21.7263843648208,23.6277602523659,24.6636771300448,25.4708520179372,12.2066549912434,13.2690582959641,14.056338028169,13.6986301369863,13.4749034749035,14.8837209302326
"32",76,"Butler, Rasual","NOH",157.55,294,295,292,364,99.3197,123.3898,-24.0701,43,49,95,108,0.2848,0.6597,82.45,155,156,129,178,83.2258,114.1026,-30.8768,17,18,54,62,0.2152,0.75,6.8067,0.0696,-0.0903,230.28481243672,23.2018209408194,26.8604047742605,22.6058631921824,23.9116719242902,22.780269058296,24.3946188340807,13.6252189141856,15.2466367713004,13.2957746478873,13.4520547945205,15.0965250965251,15.8139534883721
"25",67,"Stojakovic, Peja","NOH",162.1167,303,298,269,373,88.7789,125.1678,-36.3889,43,48,89,118,0.2671,0.6496,77.8833,146,153,152,169,104.1096,110.4575,-6.3479,17,19,60,52,0.2464,0.7595,-30.041,0.0207,-0.1099,230.23416025562,22.154779969651,27.2807472755579,22.6058631921824,23.6277602523659,21.9730941704036,25.7399103139013,14.531523642732,14.8834080717489,13.2957746478873,13.6986301369863,15.7915057915058,14.6511627906977
"13",30,"Parker, Tony","SAS",181.3,336,331,354,371,105.3571,112.0846,-6.7274,44,43,116,125,0.2604,0.7296,58.7,97,101,98,111,101.0309,109.901,-8.8701,19,16,37,44,0.3016,0.6981,2.1427,-0.0412,0.0315,229.162180277642,26.0242792109256,27.1873378308251,22.8990228013029,22.2082018927445,25.6053811659193,26.6816143497758,12.4036777583187,12.542600896861,13.8028169014085,12.958904109589,13.1274131274131,13.7209302325581
"10",26,"Duncan, Tim","SAS",163.5667,296,295,321,345,108.4459,116.9492,-8.5032,47,50,96,113,0.2938,0.6575,76.4333,137,137,131,137,95.6204,100,-4.3796,16,9,57,56,0.2222,0.8636,-4.1236,0.0716,-0.2061,228.582547108724,24.5220030349014,25.9730150492994,23.7785016286645,24.1955835962145,22.914798206278,25.067264573991,13.7040280210158,13.5919282511211,13.0422535211268,11.2328767123288,15.4440154440154,15.1162790697674
"119",401,"Posey, James","NOH",122.5667,233,235,215,261,92.2747,111.0638,-18.7892,35,34,85,89,0.2823,0.7143,117.4333,216,216,206,281,95.3704,130.0926,-34.7222,25,33,64,81,0.2358,0.6598,15.933,0.0465,0.0545,227.749121632844,19.6965098634294,22.0498183705241,20.2605863192182,19.6529968454259,21.4349775784753,21.8385650224215,16.6593695271454,19.4035874439462,15.3239436619718,17.1506849315069,16.2548262548263,18.0232558139535
"12",29,"Finley, Michael","SAS",143.3333,262,260,265,298,101.145,114.6154,-13.4703,43,39,88,108,0.2848,0.6929,96.6667,171,172,187,184,109.3567,106.9767,2.38,20,20,65,61,0.2469,0.7647,-15.8503,0.0379,-0.0718,227.13152778633,21.9726858877086,23.7778930980799,22.6058631921824,21.0725552050473,21.8385650224215,24.3946188340807,15.9106830122592,15.4887892376682,14.056338028169,13.9452054794521,16.3706563706564,15.6976744186047
"11",28,"Bowen, Bruce","SAS",129.8167,234,238,255,250,108.9744,105.042,3.9323,35,28,87,82,0.2991,0.7565,110.1833,199,194,197,232,98.995,119.5876,-20.5927,28,31,66,87,0.2435,0.6804,24.525,0.0556,0.0761,225.544722624325,21.5174506828528,21.536066424494,20.2605863192182,17.9495268138801,21.7040358744395,20.8968609865471,16.3047285464098,17.4260089686099,16.0845070422535,16.6575342465753,16.4864864864865,18.7209302325581
"46",118,"Chandler, Tyson","NOH",93.55,171,171,157,220,91.8129,128.655,-36.8421,18,30,52,68,0.2093,0.6341,146.45,278,280,264,322,94.964,115,-20.036,42,37,97,102,0.2917,0.7239,-16.8061,-0.0824,-0.0898,225.310517224438,17.0561456752656,20.1349247535029,15.2768729641694,18.5173501577287,16.9955156950673,19.0134529147982,18.9448336252189,21.0582959641256,19.6338028169014,18.1369863013699,20.0772200772201,20.4651162790698
"121",410,"Marks, Sean","NOH",80.3667,151,155,153,165,101.3245,106.4516,-5.1271,23,23,60,60,0.2771,0.7229,159.6333,298,296,268,377,89.9329,127.3649,-37.432,37,44,89,110,0.2517,0.6692,32.3049,0.0254,0.0537,224.877442304798,16.8740515933232,17.5661650233524,16.742671009772,16.5299684542587,18.0717488789238,17.9372197309417,19.1024518388792,23.2780269058296,18.3661971830986,19.8630136986301,19.1505791505792,21.3953488372093
"162",622,"Mason, Roger","SAS",108.4167,196,197,213,255,108.6735,129.4416,-20.7682,29,25,60,80,0.2661,0.7059,131.5833,237,235,239,227,100.8439,96.5957,4.2481,34,34,93,89,0.2764,0.7323,-25.0163,-0.0103,-0.0264,224.428241990155,19.6054628224583,21.7695900363259,18.5016286644951,17.0977917981073,18.0717488789238,20.627802690583,17.9597197898424,17.2242152466368,17.6056338028169,17.3972602739726,19.6138996138996,18.953488372093
"140",544,"Udoka, Ime","SAS",104.4167,188,183,201,190,106.9149,103.8251,3.0898,29,29,71,65,0.3085,0.71,135.5833,245,249,251,292,102.449,117.2691,-14.8201,34,30,82,104,0.2464,0.7321,17.9099,0.0621,-0.0221,224.023609315431,19.0591805766313,18.7337830825117,18.5016286644951,18.2334384858044,19.5515695067265,18.609865470852,18.4325744308231,19.847533632287,17.6056338028169,16.4109589041096,18.3397683397683,20.6976744186046
"113",330,"Bonner, Matt","SAS",99.6167,182,182,193,219,106.044,120.3297,-14.2857,25,20,61,74,0.2525,0.7531,140.3833,251,250,259,263,103.1873,105.2,-2.0127,38,39,92,95,0.2857,0.7023,-12.273,-0.0332,0.0508,223.641370427893,18.6949924127466,20.0882200311365,17.328990228013,15.6782334384858,18.2062780269058,19.8206278026906,18.7478108581436,18.6771300448431,18.6197183098592,18.6301369863014,19.4980694980695,19.6511627906977
"110",321,"Daniels, Antonio","NOH",64.25,115,120,107,129,93.0435,107.5,-14.4565,18,17,44,44,0.2903,0.7213,175.75,334,331,314,413,94.012,124.7734,-30.7614,42,50,105,126,0.25,0.6774,16.3049,0.0403,0.0439,223.354118458154,14.7799696509863,15.8847950181629,15.2768729641694,14.8264984227129,15.9192825112108,15.7847533632287,20.915061295972,24.7309417040359,19.6338028169014,21.3424657534247,21.003861003861,23.2558139534884
"155",594,"Armstrong, Hilton","NOH",52.95,103,101,90,121,87.3786,119.802,-32.4233,13,10,32,37,0.26,0.7619,187.05,346,350,331,421,95.6647,120.2857,-24.621,47,57,117,133,0.2611,0.6724,-7.8023,-0.0011,0.0895,222.387642542846,14.0060698027314,15.511157239232,13.8110749185668,12.8391167192429,14.304932735426,14.8430493273543,21.584938704028,25.0538116591928,20.9014084507042,23.0684931506849,22.3938223938224,24.0697674418605
"2",2,"Thomas, Kurt","SAS",79.7833,145,144,128,166,88.2759,115.2778,-27.0019,19,19,53,63,0.2317,0.7361,160.2167,288,288,324,316,112.5,109.7222,2.7778,44,40,100,106,0.2933,0.7143,-29.7797,-0.0616,0.0218,222.281790394611,15.7359635811836,17.6128697457187,15.5700325732899,15.3943217665615,17.1300448430493,18.3408071748879,21.3091068301226,20.8161434977578,20.1408450704225,18.8767123287671,20.4247104247104,20.9302325581395
"199",793,"Hill, George","SAS",76.1833,130,132,133,135,102.3077,102.2727,0.035,19,26,50,53,0.2639,0.6579,163.8167,303,300,319,347,105.2805,115.6667,-10.3861,44,33,103,116,0.275,0.7574,10.4211,-0.0111,-0.0995,222.138416340447,15.9635811836115,16.1650233523612,15.5700325732899,17.3817034700315,16.7264573991031,16.9955156950673,21.1120840630473,22.067264573991,20.1408450704225,17.1506849315069,20.7722007722008,22.093023255814
"187",711,"Wright, Julian","NOH",32.2333,62,63,48,75,77.4194,119.0476,-41.6283,9,7,22,27,0.25,0.7586,207.7667,387,388,373,467,96.3824,120.3608,-23.9784,51,60,127,143,0.2629,0.6791,-17.6499,-0.0129,0.0795,221.198676917702,12.0940819423369,13.3627400103788,12.6384364820847,11.98738170347,12.9596412556054,13.4977578475336,23.2399299474606,26.9103139013453,21.9154929577465,23.8082191780822,23.5521235521236,25.2325581395349
"88",257,"Gooden, Drew","SAS",70.7333,126,127,120,122,95.2381,96.063,-0.8249,15,8,52,53,0.2206,0.8667,169.2667,307,305,332,360,108.1433,118.0328,-9.8895,48,51,101,116,0.2927,0.6645,9.0646,-0.0721,0.2022,221.183162259508,15.3717754172989,15.5578619615983,14.3973941368078,12.2712933753943,16.9955156950673,16.9955156950673,21.6243432574431,22.5919282511211,21.1549295774648,21.5890410958904,20.5405405405405,22.093023255814
"55",140,"Brown, Devin","NOH",32.6,62,63,49,75,79.0323,119.0476,-40.0154,5,6,21,23,0.1786,0.7778,207.4,387,388,372,467,96.124,120.3608,-24.2368,55,61,128,147,0.2723,0.6772,-15.7786,-0.0937,0.1006,220.917206280864,12.1396054628225,13.3627400103788,11.4657980456026,11.7034700315457,12.8251121076233,12.9596412556054,23.2005253940455,26.9103139013453,22.9295774647887,24.0547945205479,23.6679536679537,25.6976744186047
"111",326,"Peterson, Morris","NOH",20.7167,39,41,28,51,71.7949,124.3902,-52.5954,3,5,12,17,0.15,0.7059,219.2833,410,410,393,491,95.8537,119.7561,-23.9024,57,62,137,153,0.2714,0.6884,-28.693,-0.1214,0.0175,220.241999448227,11.1836115326252,12.2418266735859,10.8794788273616,11.4195583596215,11.6143497757848,12.152466367713,24.0280210157618,27.8789237668161,23.4366197183099,24.3013698630137,24.7104247104247,26.3953488372093
"108",311,"Bowen, Ryan","NOH",1.6333,3,4,4,3,133.3333,75,58.3333,1,3,0,2,0.3333,0,238.3667,446,447,417,539,93.4978,120.5817,-27.0839,59,64,149,168,0.2599,0.6995,85.4172,0.0734,-0.6995,219.138448113211,10.0910470409712,10,10.2931596091205,10.8517350157729,10,10.1345291479821,24.9737302977233,29.8161434977578,23.943661971831,24.7945205479452,26.1003861003861,28.1395348837209
"17",37,"Oberto, Fabricio","SAS",21.5833,35,35,37,30,105.7143,85.7143,20,4,6,14,15,0.2105,0.7,218.4167,398,397,415,452,104.2714,113.8539,-9.5825,59,53,139,154,0.277,0.724,29.5825,-0.0665,-0.024,218.176695860447,11.5933232169954,11.2610275038921,11.1726384364821,11.7034700315457,11.8834080717489,11.8834080717489,24.8949211908932,26.304932735426,23.943661971831,22.0821917808219,24.9420849420849,26.5116279069767
"81",231,"Vaughn, Jacque","SAS",21.25,35,36,40,29,114.2857,80.5556,33.7302,6,2,17,14,0.3,0.8947,218.75,398,396,412,453,103.5176,114.3939,-10.8764,57,57,136,155,0.2689,0.7047,44.6066,0.0311,0.19,218.156485448814,11.7298937784522,11.2143227815257,11.7589576547231,10.5678233438486,12.2869955156951,11.7488789237668,24.776707530648,26.3452914798206,23.4366197183099,23.0684931506849,24.5945945945946,26.6279069767442
"93",270,"Hamilton, Richard","DET",154.1833,266,262,234,308,87.9699,117.5573,-29.5873,37,46,91,111,0.25,0.6642,37.8167,64,64,78,66,121.875,103.125,18.75,15,10,21,21,0.4167,0.6774,-48.3373,-0.1667,-0.0132,204.68446970509,20.5614567526555,24.2449403217436,20.8469055374593,23.0599369085174,22.2421524663677,24.7982062780269,11.6155866900175,10.7264573991031,12.7887323943662,11.4794520547945,11.2741312741313,11.046511627907
"98",275,"McDyess, Antonio","DET",135.7167,236,232,215,254,91.1017,109.4828,-18.3811,31,40,88,95,0.246,0.6875,56.2833,94,94,97,120,103.1915,127.6596,-24.4681,21,16,24,37,0.3621,0.6,6.087,-0.1161,0.0875,203.415579301475,19.6965098634294,21.7228853139595,19.0879478827362,21.3564668769716,21.8385650224215,22.6457399103139,12.3642732049037,12.9058295964126,14.3098591549296,12.958904109589,11.6216216216216,12.906976744186
"95",272,"Prince, Tayshaun","DET",128.6333,219,218,199,249,90.8676,114.2202,-23.3526,34,37,76,87,0.281,0.6726,63.3667,111,108,113,125,101.8018,115.7407,-13.9389,18,19,36,45,0.2857,0.6545,-9.4137,-0.0047,0.0181,202.922463385652,18.9681335356601,21.4893617021277,19.9674267100977,20.5047318611987,20.2242152466368,21.5695067264574,12.9947460595447,13.1076233183857,13.5492957746479,13.6986301369863,13.011583011583,13.8372093023256
"180",691,"Stuckey, Rodney","DET",128.05,220,220,201,250,91.3636,113.6364,-22.2727,28,37,77,90,0.2373,0.6754,63.95,110,106,111,124,100.9091,116.9811,-16.072,24,19,35,42,0.3636,0.6481,-6.2007,-0.1263,0.0273,202.7766656704,19.0591805766313,21.536066424494,18.2084690553746,20.5047318611987,20.3587443946188,21.9730941704036,12.9159369527145,13.067264573991,15.0704225352113,13.6986301369863,12.8957528957529,13.4883720930233
"97",274,"Wallace, Rasheed","DET",121.9833,207,206,181,239,87.4396,116.0194,-28.5798,27,31,72,86,0.2389,0.699,70.0167,123,120,131,135,106.5041,112.5,-5.9959,25,25,40,46,0.3521,0.6154,-22.5839,-0.1132,0.0836,202.154328638571,18.1487101669196,21.0223144784639,17.9153094462541,18.801261829653,19.6860986547085,21.4349775784753,13.7040280210158,13.5112107623318,15.3239436619718,15.1780821917808,13.4749034749035,13.953488372093
"138",532,"Bynum, Will","DET",78.2333,133,129,140,157,105.2632,121.7054,-16.4423,28,23,41,53,0.3457,0.6406,113.7667,197,197,172,217,87.3096,110.1523,-22.8426,24,33,71,79,0.233,0.6827,6.4003,0.1127,-0.0421,199.942106063895,16.2822458270106,17.1925272444214,18.2084690553746,16.5299684542587,15.5156950672646,16.9955156950673,15.3196147110333,16.8206278026906,15.0704225352113,17.1506849315069,17.0656370656371,17.7906976744186
"179",689,"Afflalo, Arron","DET",66.25,115,111,123,121,106.9565,109.009,-2.0525,22,17,41,44,0.3333,0.7069,125.75,215,215,189,253,87.907,117.6744,-29.7674,30,39,71,88,0.2542,0.6455,27.7149,0.0791,0.0614,198.98352884187,15.5083459787557,15.511157239232,16.4495114006515,14.8264984227129,15.5156950672646,15.7847533632287,15.9894921190893,18.2735426008969,16.5915492957746,18.6301369863014,17.0656370656371,18.8372093023256
"100",280,"Maxiell, Jason","DET",63.9,111,110,115,134,103.6036,121.8182,-18.2146,24,17,30,44,0.3529,0.6383,128.1,219,216,197,240,89.9543,111.1111,-21.1568,28,39,82,88,0.2414,0.6777,2.9422,0.1115,-0.0394,198.890662429987,15.144157814871,16.1183186299948,17.0358306188925,14.8264984227129,14.0358744394619,15.7847533632287,16.3047285464098,17.7488789237668,16.0845070422535,18.6301369863014,18.3397683397683,18.8372093023256
"70",189,"Brown, Kwame","DET",48.35,80,77,77,99,96.25,128.5714,-32.3214,15,21,27,27,0.3571,0.5625,143.65,250,249,235,275,94,110.4418,-16.4418,37,35,85,105,0.2606,0.7083,-15.8796,0.0965,-0.1458,197.862283002786,13.4142640364188,14.4836533471718,14.3973941368078,15.9621451104101,13.6322869955157,13.4977578475336,17.8021015761821,19.1614349775785,18.3661971830986,17.6438356164384,18.6872586872587,20.8139534883721
"144",556,"Herrmann, Walter","DET",22.0833,40,41,47,40,117.5,97.561,19.939,8,6,10,14,0.3636,0.625,169.9167,290,285,265,334,91.3793,117.193,-25.8137,44,50,102,118,0.2716,0.6711,45.7527,0.092,-0.0461,195.911652408566,12.0485584218513,11.7280747275558,12.3452768729642,11.7034700315457,11.3452914798206,11.7488789237668,18.984238178634,21.542600896861,20.1408450704225,21.3424657534247,20.6563706563707,22.3255813953488
"134",510,"Johnson, Amir","DET",12.6167,23,24,28,19,121.7391,79.1667,42.5725,6,5,7,9,0.4,0.5833,179.3833,307,302,284,355,92.5081,117.5497,-25.0415,46,51,105,123,0.2722,0.6731,67.614,0.1278,-0.0898,195.398165715112,11.1836115326252,10.747275557862,11.7589576547231,11.4195583596215,10.9417040358744,11.0762331838565,19.7329246935201,22.390134529148,20.6478873239437,21.5890410958904,21.003861003861,22.906976744186
